film_id,actor_id,id
1,1,1
23,1,2
25,1,3
106,1,4
140,1,5
166,1,6
277,1,7
361,1,8
438,1,9
499,1,10
506,1,11
509,1,12
605,1,13
635,1,14
749,1,15
832,1,16
939,1,17
970,1,18
980,1,19
3,2,20
31,2,21
47,2,22
105,2,23
132,2,24
145,2,25
226,2,26
249,2,27
314,2,28
321,2,29
357,2,30
369,2,31
399,2,32
458,2,33
481,2,34
485,2,35
518,2,36
540,2,37
550,2,38
555,2,39
561,2,40
742,2,41
754,2,42
811,2,43
958,2,44
17,3,45
40,3,46
42,3,47
87,3,48
111,3,49
185,3,50
289,3,51
329,3,52
336,3,53
341,3,54
393,3,55
441,3,56
453,3,57
480,3,58
539,3,59
618,3,60
685,3,61
827,3,62
966,3,63
967,3,64
971,3,65
996,3,66
23,4,67
25,4,68
56,4,69
62,4,70
79,4,71
87,4,72
355,4,73
379,4,74
398,4,75
463,4,76
490,4,77
616,4,78
635,4,79
691,4,80
712,4,81
714,4,82
721,4,83
798,4,84
832,4,85
858,4,86
909,4,87
924,4,88
19,5,89
54,5,90
85,5,91
146,5,92
171,5,93
172,5,94
202,5,95
203,5,96
286,5,97
288,5,98
316,5,99
340,5,100
369,5,101
375,5,102
383,5,103
392,5,104
411,5,105
503,5,106
535,5,107
571,5,108
650,5,109
665,5,110
687,5,111
730,5,112
732,5,113
811,5,114
817,5,115
841,5,116
865,5,117
29,6,118
53,6,119
60,6,120
70,6,121
112,6,122
164,6,123
165,6,124
193,6,125
256,6,126
451,6,127
503,6,128
509,6,129
517,6,130
519,6,131
605,6,132
692,6,133
826,6,134
892,6,135
902,6,136
994,6,137
25,7,138
27,7,139
35,7,140
67,7,141
96,7,142
170,7,143
173,7,144
217,7,145
218,7,146
225,7,147
292,7,148
351,7,149
414,7,150
463,7,151
554,7,152
618,7,153
633,7,154
637,7,155
691,7,156
758,7,157
766,7,158
770,7,159
805,7,160
806,7,161
846,7,162
900,7,163
901,7,164
910,7,165
957,7,166
959,7,167
47,8,168
115,8,169
158,8,170
179,8,171
195,8,172
205,8,173
255,8,174
263,8,175
321,8,176
396,8,177
458,8,178
523,8,179
532,8,180
554,8,181
752,8,182
769,8,183
771,8,184
859,8,185
895,8,186
936,8,187
30,9,188
74,9,189
147,9,190
148,9,191
191,9,192
200,9,193
204,9,194
434,9,195
510,9,196
514,9,197
552,9,198
650,9,199
671,9,200
697,9,201
722,9,202
752,9,203
811,9,204
815,9,205
865,9,206
873,9,207
889,9,208
903,9,209
926,9,210
964,9,211
974,9,212
1,10,213
9,10,214
191,10,215
236,10,216
251,10,217
366,10,218
477,10,219
480,10,220
522,10,221
530,10,222
587,10,223
694,10,224
703,10,225
716,10,226
782,10,227
914,10,228
929,10,229
930,10,230
964,10,231
966,10,232
980,10,233
983,10,234
118,11,235
205,11,236
281,11,237
283,11,238
348,11,239
364,11,240
395,11,241
429,11,242
433,11,243
453,11,244
485,11,245
532,11,246
567,11,247
587,11,248
597,11,249
636,11,250
709,11,251
850,11,252
854,11,253
888,11,254
896,11,255
928,11,256
938,11,257
969,11,258
988,11,259
16,12,260
17,12,261
34,12,262
37,12,263
91,12,264
92,12,265
107,12,266
155,12,267
177,12,268
208,12,269
213,12,270
216,12,271
243,12,272
344,12,273
400,12,274
416,12,275
420,12,276
457,12,277
513,12,278
540,12,279
593,12,280
631,12,281
635,12,282
672,12,283
716,12,284
728,12,285
812,12,286
838,12,287
871,12,288
880,12,289
945,12,290
17,13,291
29,13,292
45,13,293
87,13,294
110,13,295
144,13,296
154,13,297
162,13,298
203,13,299
254,13,300
337,13,301
346,13,302
381,13,303
385,13,304
427,13,305
456,13,306
513,13,307
515,13,308
522,13,309
524,13,310
528,13,311
571,13,312
588,13,313
597,13,314
600,13,315
718,13,316
729,13,317
816,13,318
817,13,319
832,13,320
833,13,321
843,13,322
897,13,323
966,13,324
998,13,325
154,14,326
187,14,327
232,14,328
241,14,329
253,14,330
255,14,331
258,14,332
284,14,333
292,14,334
370,14,335
415,14,336
417,14,337
418,14,338
454,14,339
472,14,340
475,14,341
495,14,342
536,14,343
537,14,344
612,14,345
688,14,346
759,14,347
764,14,348
847,14,349
856,14,350
890,14,351
908,14,352
919,14,353
948,14,354
970,14,355
31,15,356
89,15,357
91,15,358
108,15,359
125,15,360
236,15,361
275,15,362
280,15,363
326,15,364
342,15,365
414,15,366
445,15,367
500,15,368
502,15,369
541,15,370
553,15,371
594,15,372
626,15,373
635,15,374
745,15,375
783,15,376
795,15,377
817,15,378
886,15,379
924,15,380
949,15,381
968,15,382
985,15,383
80,16,384
87,16,385
101,16,386
121,16,387
155,16,388
177,16,389
218,16,390
221,16,391
267,16,392
269,16,393
271,16,394
280,16,395
287,16,396
345,16,397
438,16,398
453,16,399
455,16,400
456,16,401
503,16,402
548,16,403
582,16,404
583,16,405
717,16,406
758,16,407
779,16,408
886,16,409
967,16,410
96,17,411
119,17,412
124,17,413
127,17,414
154,17,415
199,17,416
201,17,417
236,17,418
280,17,419
310,17,420
313,17,421
378,17,422
457,17,423
469,17,424
478,17,425
500,17,426
515,17,427
521,17,428
573,17,429
603,17,430
606,17,431
734,17,432
770,17,433
794,17,434
800,17,435
853,17,436
873,17,437
874,17,438
880,17,439
948,17,440
957,17,441
959,17,442
44,18,443
84,18,444
144,18,445
172,18,446
268,18,447
279,18,448
280,18,449
321,18,450
386,18,451
460,18,452
462,18,453
484,18,454
536,18,455
561,18,456
612,18,457
717,18,458
808,18,459
842,18,460
863,18,461
883,18,462
917,18,463
944,18,464
2,19,465
3,19,466
144,19,467
152,19,468
182,19,469
208,19,470
212,19,471
217,19,472
266,19,473
404,19,474
428,19,475
473,19,476
490,19,477
510,19,478
513,19,479
644,19,480
670,19,481
673,19,482
711,19,483
750,19,484
752,19,485
756,19,486
771,19,487
785,19,488
877,19,489
1,20,490
54,20,491
63,20,492
140,20,493
146,20,494
165,20,495
231,20,496
243,20,497
269,20,498
274,20,499
348,20,500
366,20,501
445,20,502
478,20,503
492,20,504
499,20,505
527,20,506
531,20,507
538,20,508
589,20,509
643,20,510
652,20,511
663,20,512
714,20,513
717,20,514
757,20,515
784,20,516
863,20,517
962,20,518
977,20,519
6,21,520
87,21,521
88,21,522
142,21,523
159,21,524
179,21,525
253,21,526
281,21,527
321,21,528
398,21,529
426,21,530
429,21,531
497,21,532
507,21,533
530,21,534
680,21,535
686,21,536
700,21,537
702,21,538
733,21,539
734,21,540
798,21,541
804,21,542
887,21,543
893,21,544
920,21,545
983,21,546
9,22,547
23,22,548
56,22,549
89,22,550
111,22,551
146,22,552
291,22,553
294,22,554
349,22,555
369,22,556
418,22,557
430,22,558
483,22,559
491,22,560
495,22,561
536,22,562
600,22,563
634,22,564
648,22,565
688,22,566
731,22,567
742,22,568
775,22,569
802,22,570
912,22,571
964,22,572
6,23,573
42,23,574
78,23,575
105,23,576
116,23,577
117,23,578
125,23,579
212,23,580
226,23,581
235,23,582
254,23,583
367,23,584
370,23,585
414,23,586
419,23,587
435,23,588
449,23,589
491,23,590
536,23,591
549,23,592
636,23,593
649,23,594
673,23,595
691,23,596
766,23,597
782,23,598
804,23,599
820,23,600
826,23,601
833,23,602
842,23,603
853,23,604
855,23,605
856,23,606
935,23,607
981,23,608
997,23,609
3,24,610
83,24,611
112,24,612
126,24,613
148,24,614
164,24,615
178,24,616
194,24,617
199,24,618
242,24,619
256,24,620
277,24,621
335,24,622
405,24,623
463,24,624
515,24,625
585,24,626
603,24,627
653,24,628
704,24,629
781,24,630
829,24,631
832,24,632
969,24,633
21,25,634
86,25,635
153,25,636
179,25,637
204,25,638
213,25,639
